"Id","SalePrice"
1461,92180.2676291771
1462,129795.657968567
1463,214247.338995422
1464,204170.653007182
1465,175268.861034517
1466,205095.071940458
1467,175525.717047652
1468,188607.036721902
1469,176704.535171797
1470,108658.622050712
1471,190026.515539575
1472,114334.32934875
1473,118813.543483434
1474,167357.452228575
1475,109490.53859321
1476,278433.125302341
1477,211810.463218371
1478,223071.14062415
1479,230874.248709384
1480,311786.749741447
1481,281288.252425279
1482,194819.452518878
1483,188472.41008126
1484,169626.548459971
1485,185596.86561597
1486,225793.543647738
1487,301695.183830776
1488,220012.356577786
1489,197141.167726993
1490,204595.868678961
1491,210230.402997781
1492,92007.1844804467
1493,196640.094787349
1494,267049.742888747
1495,267720.602393005
1496,206835.237928641
1497,248969.11284064
1498,187946.776422165
1499,189143.269585517
1500,193174.134234942
1501,210817.489637634
1502,173314.067760728
1503,201978.49562398
1504,233883.944179992
1505,203693.63228852
1506,184994.794576021
1507,283397.138411416
1508,215377.15422059
1509,173454.628810966
1510,128506.662414436
1511,125931.387777303
1512,163831.803895892
1513,175359.018111826
1514,199811.798566844
1515,304913.59800941
1516,148641.969393164
1517,174392.129603043
1518,149033.45204694
1519,203447.988456041
1520,110166.017109889
1521,117220.030246384
1522,159096.235215412
1523,135575.893767873
1524,107500.00528246
1525,93510.9117978479
1526,98891.8866876502
1527,148907.209607029
1528,180355.129348101
1529,114945.501072731
1530,161016.924313542
1531,160841.020216018
1532,83497.5813316599
1533,130614.597129927
1534,171314.83075562
1535,217577.747468556
1536,125176.279773318
1537,95782.7245003719
1538,205898.317249552
1539,286305.100497533
1540,183355.046575155
1541,188656.965059508
1542,200868.491796161
1543,254220.581569562
1544,71628.4486730289
1545,105443.39997853
1546,105331.90715137
1547,126830.327583628
1548,129964.968897857
1549,131037.096330576
1550,139125.125717345
1551,98277.4183795525
1552,169267.326135724
1553,209404.049707221
1554,171113.076373487
1555,158179.70604666
1556,108467.024100923
1557,127277.725798241
1558,81594.1174694312
1559,175088.734914247
1560,155248.584315046
1561,185330.699963474
1562,147967.572456811
1563,104250.203399294
1564,165929.608011055
1565,146911.614511682
1566,213042.956067546
1567,70620.7325106728
1568,231926.329957409
1569,187993.044049127
1570,135942.001772363
1571,162984.694968468
1572,167353.810318815
1573,219333.131673681
1574,143782.484785358
1575,190693.628656409
1576,213080.46833612
1577,183034.092724651
1578,187662.676081597
1579,149060.826684054
1580,206746.403279639
1581,158185.373776262
1582,103102.323176374
1583,244751.849366835
1584,243731.631458665
1585,144335.96871689
1586,118555.026747482
1587,87276.3134580372
1588,126868.784091716
1589,104099.778428722
1590,131324.86441292
1591,95756.769738097
1592,185435.80857773
1593,81817.578759076
1594,265367.369170677
1595,150679.610092727
1596,237568.668363972
1597,230843.23216251
1598,227591.052102728
1599,148411.198451984
1600,161714.188383381
1601,46435.5446141213
1602,132556.517500244
1603,85289.0767314046
1604,231803.729427257
1605,233023.832039415
1606,150603.831470511
1607,216008.267651601
1608,194525.195745966
1609,182138.345024779
1610,197024.13747991
1611,137973.603584665
1612,193063.592678429
1613,176255.345924686
1614,112024.640251126
1615,124894.524746221
1616,124894.524746221
1617,127287.511072926
1618,141166.167478689
1619,112645.597249792
1620,266693.030200399
1621,163121.66692258
1622,148198.819033315
1623,230140.371977586
1624,220994.593613191
1625,84630.2433376376
1626,156420.178464435
1627,203422.033693766
1628,271624.755998327
1629,205661.402943447
1630,308055.679284855
1631,204617.575586472
1632,223611.041229541
1633,179313.654335727
1634,208950.136970024
1635,190727.94881853
1636,159110.718148168
1637,223271.363622649
1638,222901.249581871
1639,197314.622033382
1640,300934.538406869
1641,215703.404643038
1642,241504.288319475
1643,237991.617367929
1644,232134.097394788
1645,178554.774112302
1646,128091.681820651
1647,145187.221021413
1648,127470.275018677
1649,114110.868059105
1650,99365.7152998609
1651,142439.469180554
1652,116727.315675455
1653,115530.822512103
1654,171577.56951432
1655,137013.047624755
1656,169750.43855528
1657,173970.555841025
1658,170946.931718633
1659,103409.557330423
1660,168710.409249761
1661,326887.248127832
1662,331652.353635583
1663,262714.465034066
1664,327467.871909133
1665,230915.4216886
1666,232476.491472809
1667,295669.779834314
1668,224421.72649985
1669,212846.374978807
1670,238977.150987451
1671,221539.217708669
1672,283269.95173199
1673,281645.500593714
1674,221244.00966511
1675,192279.337805717
1676,193734.452182686
1677,195868.817295774
1678,304696.625410334
1679,270805.341201643
1680,255960.721725729
1681,206841.72661921
1682,214968.238346082
1683,195148.869215761
1684,188697.298276875
1685,200978.193590823
1686,185301.657572412
1687,194070.833205461
1688,215457.285175236
1689,210229.927362458
1690,189999.271212142
1691,180817.381653128
1692,246466.536228068
1693,185596.86561597
1694,196486.477710324
1695,187081.126861666
1696,277363.343183092
1697,185884.633698313
1698,305993.06092568
1699,251974.697797297
1700,252947.254035681
1701,262423.400367606
1702,226436.683189239
1703,222181.881614846
1704,225912.000800791
1705,194484.022766749
1706,298391.70722258
1707,205798.850532882
1708,193517.955218933
1709,207849.918416889
1710,204749.485755985
1711,227851.100222315
1712,236031.286674218
1713,214155.787875291
1714,212916.694826751
1715,222917.047911802
1716,175995.323637115
1717,166177.258862492
1718,172965.210824155
1719,227361.577757839
1720,208325.987864906
1721,161957.61721207
1722,160761.124048718
1723,163762.53979626
1724,207366.409007658
1725,253696.348984421
1726,218377.194726194
1727,179894.727920335
1728,199496.173180933
1729,174248.643126348
1730,207680.027374612
1731,102782.111641188
1732,88597.2768296877
1733,88597.2768296877
1734,113851.745378149
1735,127375.05615677
1736,87890.7817661349
1737,235818.320111429
1738,233042.822475797
1739,354858.972238505
1740,237073.211489899
1741,188724.092801
1742,218094.964063773
1743,195625.4142991
